NPSN,Name,Level,Status,Location,Subdistrict,City,Province,Link
69772820,KB PERTIWI,KB,SWASTA,GAJAH MADA NO.149,BALONGSARI Kec. Magersari,Kota Mojokerto,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/756D05FC-A33A-4977-B7EB-426B2D60241B
69939952,PAUD RAUDLATUL JANNAH 2,KB,SWASTA,Dusun. Poreh,Poreh Kec. Karangpenang,Kab. Sampang,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06918202-AC51-4B49-BF22-426C2266331A
69919594,KB AS SYAFA AT,KB,SWASTA,JL. A YANI KARANG JAWA RT.6/61,Karang Jati Kec. Balikpapan Tengah,Kota Balikpapan,Kalimantan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5918AAF1-D028-4FF8-8B37-426DAF03E472
70013455,KB KARTINI,KB,SWASTA,Dusun Tappang,Kabiraan Kec. Ulumanda,Kab. Majene,Sulawesi Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/206F4819-F8C8-4630-A680-426EBBAA60E0
69772435,KB AL HUSNAH,KB,SWASTA,KAMPUNG TALAKA,KALABBIRANG Kec. Minasatene,Kab. Pangkajene Kepulauan,Sulawesi Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4FAD1D7A-1F86-4B6B-ADB5-426FC8A35A17
69976663,PAUD RAUDHOTUT THOLIBIN,KB,SWASTA,DUSUN 06 RT.01 RW.07,Karangwangun Kec. Babakan,Kab. Cirebon,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A6E21A86-8AE7-4137-A06A-427013258A6D
69956383,KB TULIP,KB,SWASTA,Dusun Gonis Rabu Desa Gonis Tekam,Gonis Tekam Kec. Sekadau Hilir,Kab. Sekadau,Kalimantan Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DAAEB529-E3AE-40BF-B912-427025D59538
69846109,KB ASSALAM,KB,SWASTA,DUKUH RINGINPITU RT. 01 RW. 08 KELURAHAN...,Sragi Kec. Sragi,Kab. Pekalongan,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/31C87949-DAC9-4572-A8FA-4270577E0F3D
69946928,KB ERNESTI,KB,SWASTA,DUSUN TABEAN RT.001/RW.001,Tukuneno Kec. Tasifeto Barat,Kab. Belu,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6CA695B2-3546-4992-A291-4270DEAF5A2B
69921277,PAUD SANTA MELANIA,KB,SWASTA,SARUDIK,Sarudik Kec. Sarudik,Kab. Tapanuli Tengah,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3208020A-F0C9-4E62-B898-42710C63F7E4
69914501,KB TUNAS BANGSA,KB,SWASTA,Dusun Tokka,Bonto Marannu Kec. Moncongloe,Kab. Maros,Sulawesi Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1FDC230A-9AE1-4AB0-8693-427362A2D616
69947354,PAUD KHAIRUNNISA,KB,SWASTA,JL. MAJLIS RT.02 RW.03 KEBON DUREN,Kalimulya Kec. Cilodong,Kota Depok,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C05B03D5-EDBF-4C06-AF16-4273976152C7
69780212,KB HANDAYANI,KB,SWASTA,SEBELIK RT: 01 RW: 01,Banyuasin Kembaran Kec. Loano,Kab. Purworejo,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/81B0BA85-8D36-4871-9E94-4273E69F4738
69958987,KB DARUL FIKRI,KB,SWASTA,Dsn Sukawera RT. 18/05,Mekarjaya Kec. Compreng,Kab. Subang,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F292BC3-9765-46A5-AE41-427426CC57CE
69953266,KB BUNDA TIARA,KB,SWASTA,DESA DERMAWUHARJO RT.001 RW.001 KEC GRAB...,Dermawuhardjo Kec. Grabagan,Kab. Tuban,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C862E875-502E-426D-872D-4274BD08036A
69839717,KB KENANGA,KB,SWASTA,JIMATAN,JATIREJO Kec. Lendah,Kab. Kulon Progo,D.I. Yogyakarta,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3A69117C-0BA0-45A1-A843-4274CBF63DCC
70023827,KB SUKA MAJU TERPADU,KB,SWASTA,Dusun Sekampet,Semirau Kec. Jangkang,Kab. Sanggau,Kalimantan Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2D5172F1-E72A-452E-9EF5-4274FE398475
69875980,PAUD GASEH POMA,KB,SWASTA,JALAN TAPAKTUAN-MEDAN,SAWAH TINGKEUM Kec. Bakongan Timur,Kab. Aceh Selatan,Aceh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8A4C92A9-A59A-4F0E-B8C3-42751CC775B7
69845994,KB AL-MADANIYAH,KB,SWASTA,DUKUH NOLO,KALIREJO Kec. Talun,Kab. Pekalongan,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A27E4767-42AB-483D-BF22-427538D88CD8
69910730,KB PELANGI NUSANTARA,KB,SWASTA,"Dk. Glodogan RT 01 RW 6 Ds. Glodogan, Ke...",Glodogan Kec. Klaten Selatan,Kab. Klaten,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AA9F748A-98D3-4BA3-B205-42759E9E3278
69863488,KB TUNAS HARAPAN,KB,SWASTA,KARYA MURNI JAYA,KARYA MURNI JAYA Kec. Banjar Baru,Kab. Tulang Bawang,Lampung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5F879C29-3202-4331-AB07-4276105F6333
70029760,KB PAUD AL AZHAR,KB,SWASTA,JL A YANI KOMP. MI N 2 LANGSA,Paya Bujok Tunong Kec. Langsa Baro,Kota Langsa,Aceh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4BB2C577-FDF5-4B53-92F5-4277007F8B91
69814607,KB KARTIKA SARI,KB,SWASTA,JL. JENDERAL A. YANI MABUUN RT. 03,Mabuun Kec. Murung Pudak,Kab. Tabalong,Kalimantan Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2098CD18-B848-4DE2-B582-42777C3591E4
69929386,KB AL-BAROKAH,KB,SWASTA,Kp. Pasir Jambu,Cahayamekar Kec. Bojong,Kab. Pandeglang,Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20028D35-C775-4F1F-BEE7-4277F6FBE31B
69869327,PAUD NEMO,KB,SWASTA,"Komplek Depsos I, Kp. Kaumpandak RT.03 R...",KARADENAN Kec. Cibinong,Kab. Bogor,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/42DDC5F0-38EF-43AC-B664-4278D78C132D
69850170,PAUD ANNAJWA,KB,SWASTA,JAGATAPA RT04 RW04,KIRISIK Kec. Jatinunggal,Kab. Sumedang,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DD7026C0-7F66-47C2-901C-4278E6AEDD03
69875788,KB PRIMA NUSANTARA,KB,SWASTA,"Jalan Poros RT 04, Kampung Harapan Jaya",Harapan Jaya Kec. Segah,Kab. Berau,Kalimantan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E7260A5E-1484-4247-A23B-427A269F21D0
69989582,KB ELIM ,KB,SWASTA,MAIJURING,Maijuring Kec. Aru Tengah,Kab. Kepulauan Aru,Maluku,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/67BD0C29-16AB-43F6-9E61-427A3A265879
69776084,PERMATA MAHKOTA,KB,SWASTA,VETERAN,PASIR PENGARAIAN Kec. Rambah,Kab. Rokan Hulu,Riau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2461B181-428D-4199-A9AF-427C34484692
69869242,KB KEMUNING,KB,SWASTA,KP. WALAHIR,NAMBO Kec. Klapanunggal,Kab. Bogor,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA46FDF8-7454-4589-BDC4-427C4BFE60A0
69816636,PG ISLAM SABILIL FALAH AS SALAFI,KB,SWASTA,KH. MANSOER RT.20 RW.06,Kebonagung Kec. Sukodono,Kab. Sidoarjo,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5D757799-7D73-417D-9B3F-427D413B3C38
69767671,KB ANUGRAH,KB,SWASTA,PEMATANG SIANTAR NO.177,Situnggaling Kec. Merek,Kab. Karo,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0661FC10-2261-4A23-B7C9-427EE803AAB1
69816237,KB AL HUSAINI,KB,SWASTA,SIMO,Kesambi Kec. Porong,Kab. Sidoarjo,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BE871D26-F278-4051-88B1-427EFE809A81
69842131,KB. KEMAS MANDALA,KB,SWASTA,Kp. MANDALAWANGI,Mandalawangi Kec. Mandalawangi,Kab. Pandeglang,Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B81C5C4E-362B-4E2F-84E4-427F1C217DE3
69819915,KB SRIKANDI,KB,SWASTA,JL. DESA ROWOBELANG,ROWOBELANG Kec. Batang,Kab. Batang,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CA34DD33-03C9-46BF-8BAB-427FF8AD99AE
69842191,KB QUROTULAYUN,KB,SWASTA,REGO KP CIGONCAH,KAUNGCAANG Kec. Cadasari,Kab. Pandeglang,Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8D75056-244A-4B4B-B997-4280CD550055
69860556,KB BAITU NURROHMAH,KB,SWASTA,Dusun Sukamaju Rt 04 Rw 10,Ciwaru Kec. Ciwaru,Kab. Kuningan,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4AE203D4-D88A-45D4-92F1-4281657A47EC
69972997,KB BUNGA MEKAR,KB,SWASTA,Pesorongan Jukung Selatan,Lebah Sempage Kec. Narmada,Kab. Lombok Barat,Nusa Tenggara Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B3AED082-E32C-4864-842A-428173A1909E
69929655,KB Merpati,KB,SWASTA,Bea Denger,Wae Renca Kec. Cibal Barat,Kab. Manggarai,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F81791A7-8984-48E1-944A-428196EAAA37
70024727,KB AR RAYYAN,KB,SWASTA,Komplek Pesona Bukit Banjaran Blok. AD2,Mangunjaya Kec. Arjasari,Kab. Bandung,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DE6A700C-4DC8-4C97-8B17-42826774724D
69899401,KB MIFTAHUL HUDA,KB,SWASTA,DESA KEBANDUNGAN,Kebandungan Kec. Bantarkawung,Kab. Brebes,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B6D2E03F-3993-4343-8BDF-4282A5D3FEF0
69986584,KB HATI BUNDA,KB,SWASTA,RT/RW. 13/03,Bulusari Kec. Tarokan,Kab. Kediri,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/45771987-DCFC-44D2-AC79-42839DE067DA
69902246,KB. KARYA BERSAMA,KB,SWASTA,DUSUN GEBANG,Gedangan Kec. Tegalombo,Kab. Pacitan,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4A03E13-CB31-4B82-A4B0-42843208714F
69932957,KB ANAK SHOLEH,KB,SWASTA,JL. PASAR SITIARJO RT. 24 RW. 05  DUSUN ...,Sitiarjo Kec. Sumber Manjing Wetan,Kab. Malang,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8AF895CE-FC88-40F6-971B-428499C6D60C
69796773,KB MANDIRI,KB,SWASTA,JL. LINTAS DURI - PEKANBARU KM 94,PINGGIR Kec. Pinggir,Kab. Bengkalis,Riau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B187C6C7-608F-4DC6-969A-42859396053B
69792376,KB CENDEKIA,KB,SWASTA,PERUM GRIYA MUSTIKA SARI  BLOK D.5 NO.3 ...,Mustika Sari Kec. Mustika Jaya,Kota Bekasi,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/848F210E-776A-4253-9C67-428618479E81
69782116,SAYANG IBU,KB,SWASTA,Jl. Buke Panai,OLIMEYALA Kec. Biluhu,Kab. Gorontalo,Gorontalo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/180646BF-F6A6-4AA7-BEA0-4287A01C46C3
69851623,KB HARUM,KB,SWASTA,RT 3 RW 1 DESA PURWOSARI,Purwosari Kec. Kwadungan,Kab. Ngawi,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C87045A2-EBAD-4308-A33E-4287E313B4A7
69842480,KB TUNAS MELATI,KB,SWASTA,"JL.MANGGA II, PERUM SAMBAK INDAH Rt. 04 ...",Danyang Kec. Purwodadi,Kab. Grobogan,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/24E8731A-576E-4F42-9734-4287E9B31A32
