Link,Address,Akreditasi,Operator,Guru,Siswa Laki-laki,Siswa Perempuan,Rombongan Belajar,Penyelenggaraan,Manajemen Berbasis Sekolah,Semester Data,Akses Internet,Sumber Listrik,Daya Listrik,Luas Tanah,Ruang Kelas,Laboratorium,Perpustakaan,Sanitasi Siswa
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/28951A65-9F61-461C-928B-BA308D80CDCC,"JL.NUSA INDAH KAPLINGAN CANDIREJO, -, Kec. Pasir Penyu, Kab. Indragiri Hulu Prov. Riau",B,Andre Prasetia,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/471E3EAD-A513-45BA-AC37-C1675070682C,"Jl. Lintas Timur Kerampal Desa Seberida, Seberida, Kec. Batang Gansal, Kab. Indragiri Hulu Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41A6F74A-B6BD-4B07-AE0F-C7E35022C9EE,"Bukit Meranti RT 011 / RW 004, Bukit Meranti, Kec. Seberida, Kab. Indragiri Hulu Prov. Riau",,Ria Muslifah,0,0,0,0,,,2022/2023-1,,,,"3,390 M²",0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/52C22ECD-34E6-4732-93F2-CAEEC2BCF2D8,"Desa Perkebunan Sungai Lala, -, Kec. Sei Lala, Kab. Indragiri Hulu Prov. Riau",B,Asmiarti,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4496B8DB-89F6-44CF-BBDB-CB13E8A9148F,"JL. FLAMBOYAN, -, Kec. Lubuk Batu Jaya, Kab. Indragiri Hulu Prov. Riau",B,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A59178EC-1E39-4DF1-8B1C-D618C106514E,"JL. PROPA JAYA-BULUH RAMPAI, -, Kec. Seberida, Kab. Indragiri Hulu Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/47E02542-B4BB-4412-8ADF-DBAA57A44320,"TITIAN RESAK, -, Kec. Seberida, Kab. Indragiri Hulu Prov. Riau",B,"ADE AFRIANI, S,Si",0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B472175-4FA6-4E12-9220-FC91765EFA7E,"JL. SUDIRMAN GG. DANG PURNAMA NO. 129 WONOREJO SELATAN AIR MOLEK, -, Kec. Pasir Penyu, Kab. Indragiri Hulu Prov. Riau",B,siti nuraisah rojayani,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6F381C2F-FDB2-441C-899F-FFB73BC4054E,"JALAN LINTAS SELATAN DESA SERESAM, -, Kec. Seberida, Kab. Indragiri Hulu Prov. Riau",B,Neneng Yunaningsih,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8C108D7B-1F7B-4069-91BC-000875ED6F3A,"DESA SUNGAI GALUH, -, Kec. Tapung, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60CBD408-277D-4898-B1EC-02812EC795D5,"DESA SUMBER MAKMUR, -, Kec. Tapung, Kab. Kampar Prov. Riau",,AFRILIYANTI MUSLIMAH,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/89D2EA2E-C549-4A87-88A8-03A51ECEEDF9,"Jl.lingkar ridan permai, RIDAN PERMAI, Kec. Bangkinang Kota, Kab. Kampar Prov. Riau",,Gilda puja kusuma,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/14F5DE90-1A60-4FA6-A7DF-03C59E13B1E5,"JL. PURBAYA, -, Kec. Tapung, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7E7970D1-A7BC-402F-A203-05D6C4B4ED76,"DESA ALAMANDA KEC. TAPUNG, -, Kec. Tapung, Kab. Kampar Prov. Riau",,"Ita Farida Wati,S.Pd",0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E30E7EC3-19B8-4C7E-A057-0661630B47E6,"JL. TEMBUSU IV NO. 4 PERUMAHAN PANDAU PERMAI, Pandau Jaya, Kec. Siak Hulu, Kab. Kampar Prov. Riau",,Nurul Syifa Whyuningrum,0,0,0,0,,,2022/2023-1,,,,300 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/32F5ECF3-F49E-4DF9-93D9-0BA4F82A3A77,"JL. TUAH KARYA PERUM BUMI KUALU DAMAI II BLOK I.20, Kualu, Kec. Tambang, Kab. Kampar Prov. Riau",,NINA HANDAYANI RKT S.Pd,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/82C0A919-F29D-4686-BF96-10D29AA8A672,"Jl. Pesantren (Kampung Baru), -, Kec. Tapung Hulu, Kab. Kampar Prov. Riau",C,SASRINI EKA SAPUTRI,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F303EE24-9E9E-4580-BC12-110D94F6C771,"JL. HANGTUAH, -, Kec. Perhentian Raja, Kab. Kampar Prov. Riau",,LINA HASYINAH,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20EC2ED1-F9CC-43E9-B5CC-12A7A928A2BD,"NAGA BERALIH, -, Kec. Kampar Utara, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/96BDD091-0F14-41DB-9CCC-144EFF007FCE,"DUSUN SUNGAI LINTANG DS.EMPAT BALAI KAC.BANGKINANG BARAT, -, Kec. Kuok, Kab. Kampar Prov. Riau",B,Mita Mahrani,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0BC9BAA-F87C-4A80-AF08-1669ED1DA424,"JALAN TUANKU TAMBUSAI, Tapung Makmur, Kec. Tapung Hilir, Kab. Kampar Prov. Riau",,"ERI GUNAWAN, A.Md",0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5138EA11-11F7-4991-9200-16F8BE5C1D9F,"DESA AIRTERBIT, -, Kec. Tapung, Kab. Kampar Prov. Riau",,Dwi Nurwulan Sari,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/445AC1F2-FFFD-4364-B5AC-173818F0908D,"Jl. Suka Karya, Gg Fajar RT.01 RW.01 Dusun 1 Desa Tarai Bangun, TARAI BANGUN, Kec. Tambang, Kab. Kampar Prov. Riau",,NOVIA PUTRI WULANDARI,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1130465-5571-43BC-BD7B-1E12827E43A0,"Jl. Tuanku Tambusai, Perumahan Mutiara Kualu II, Blok A7, No.05, KUALU, Kec. Tambang, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,108 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/109F868D-CD16-4A93-A6EA-201DDB704075,"DESA KUSAU MAKMUR, Kusau Makmur, Kec. Tapung Hulu, Kab. Kampar Prov. Riau",,PARIDAH,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D249907-9EC5-495B-B811-26FE4BB0546F,"JL. GARUDA SAKTI KM. 30, -, Kec. Tapung, Kab. Kampar Prov. Riau",B,suparnik,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9E30550D-BD25-4582-82C3-2BBDFD72E641,"JL.PASIR PUTIH GG.KELUARGA, -, Kec. Siak Hulu, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/42BD03E5-5F44-4997-A174-30839CB453BB,"Jl. Jambu 1 No.241, -, Kec. Tapung, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5EC53B24-5114-4414-95B8-37F553EC41F4,"JL. AGUS SALIM NO.VIII, Tambusai, Kec. Rumbio Jaya, Kab. Kampar Prov. Riau",,CHASBULOH,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D23D296D-8A63-43BA-9ABC-3D6C2112459A,"PERM PKS NAGA SAKTI MILL DESA SERIJANG, -, Kec. Tapung Hilir, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F31CD1FB-4AA6-4F8D-8E1B-3F9E49443249,"DUSUN IV DARUSSALAM, PARIT BARU, Kec. Tambang, Kab. Kampar Prov. Riau",,JUSNITA,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3255AB50-812E-429A-AD73-3FFD34920BFC,"JL. MANDAU KM 44 DESA DANAU LANCANG KEC. TAPUNG HULU KAB. KAMPAR, Danau Lancang, Kec. Tapung Hulu, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F52534AB-EC1A-4B53-BBF2-41D1339379B4,"JL. PROF. MUHAMAD YAMIN, SH BANGKINANG KOTA KAB. KAMPAR, BANGKINANG, Kec. Bangkinang Kota, Kab. Kampar Prov. Riau",,Muhammad Al-Qodri,0,0,0,0,,,2022/2023-1,,,,"4,380 M²",0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3E6D6A40-C61E-4B78-8C23-4497318BA8B2,"RT.06 RW.03 DUSUN SUKA JADI , Bina Baru, Kec. Kampar Kiri Tengah, Kab. Kampar Prov. Riau",,LATIFUL HAKIM,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EC4CA5ED-98B8-4136-B895-45F0D70E1526,"Jl. Suka Makmur / Karya Kampar No.01, -, Kec. Tambang, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/47608DAE-3651-4511-9491-481604FE8C31,"MASJID RAYA AL ITTIHAD PASAR KUOK, Kuok, Kec. Kuok, Kab. Kampar Prov. Riau",,Hanaatul Zihni,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5AF0C8E5-CF2E-47D6-B26E-49EC098D4BC2,"Dusun Sangkar Puyuh , -, Kec. Kampar Utara, Kab. Kampar Prov. Riau",,ernani,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ECF7EE98-3951-418F-AC08-4C2B9AEBD858,"Jl. Bupati Perumahan Griya Cikara Permai, -, Kec. Tambang, Kab. Kampar Prov. Riau",,ANDRE JONEDI,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/415E8683-5F8E-48AD-BF4C-4F8CF224CB9A,"Jl. Sekolah No.132, KUBANG JAYA, Kec. Siak Hulu, Kab. Kampar Prov. Riau",,AULIA ROZA,0,0,0,0,,,2022/2023-1,,,,122 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0CEEBBC7-6289-4EB9-A425-541B73569E07,"JL. DESA SUNGAI PETAI, Sungai Petai, Kec. Kampar Kiri Hilir, Kab. Kampar Prov. Riau",,gilang armizan,0,0,0,0,,,2022/2023-1,,,,300 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/299B12D9-056B-43D0-8EC0-55731EE0479A,"Jl. Kabupaten Lintas Pekanbaru-Bangkinang Km. 42, Pulau Birandang, Kec. Kampa, Kab. Kampar Prov. Riau",,-,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/71259B2F-AEE7-48E7-A5ED-58B0EBEA5DCE,"JL. RAYA PEKANBARU - TALUK KUANTAN KM. 30, , Kec. Perhentian Raja, Kab. Kampar Prov. Riau",,Gustiar,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/66B11ED5-A7A3-407E-B761-5A14D389306E,"JL. POROS DESA GUNUNG MULIA BANJAR BARU, Gunung Mulya, Kec. Gunung Sahilan, Kab. Kampar Prov. Riau",,Siti Mutiah,0,0,0,0,,,2022/2023-1,,,,0 M²,0 *,0 *,0 *,0 *
