NPSN,Name,Level,Status,Location,Subdistrict,City,Province,Link
69890051,KB TUNAS HARAPAN,KB,SWASTA,JL. RAYA LEUWIDAMAR KM.07 KP. BALAPUNAH ...,Sangiang Tanjung Kec. Kalanganyar,Kab. Lebak,Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/31387C0D-CF81-435B-8DB0-070D75A0172D
69796952,KB TUNAS BANGSA,KB,SWASTA,Dusun Blentreng,Ngembat Kec. Gondang,Kab. Mojokerto,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/89BCCB89-372A-439D-A347-070D8F4F422D
69902058,KB PUTRA BANGSA,KB,SWASTA,Jln. Ngrenak raya RT 02 RW 01,Ketro Kec. Sawoo,Kab. Ponorogo,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9C8717E-E8B8-402F-8ED5-070E60ABEADE
69773216,KB SUKAWINATAN,KB,SWASTA,JL. TPA SUKAWINATAN NO. 5257 RT. 68 RW. ...,Sukajaya Kec. Sukarami,Kota Palembang,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/701D779C-0F1F-4860-BB78-070F5E31A199
70004645,KB AL FALAH MUJAHHID PAMEUNGPEUK,KB,SWASTA,Kp. Segleng RT 03 RW 04,Paas Kec. Pameungpeuk,Kab. Garut,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/72635E15-23F9-4812-8747-070F638F155D
69912184,KB LIMASAN,KB,SWASTA,"Dk. Gulan RT 09 RW 05 Ds. Wanglu, Trucuk",Wanglu Kec. Trucuk,Kab. Klaten,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3A6C0B84-174B-4444-921F-0710F8188288
70027299,KB AL-WADUD,KB,SWASTA,Kp. Sidangsari RT 02 RW 09,Margalaksana Kec. Cilawu,Kab. Garut,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9E77CC60-1F37-4DED-895C-07116CD069D8
69938411,PAUD AS - SYAHIDUL KABIR,KB,SWASTA,Desa Pamoroh,Pamoroh Kec. Kadur,Kab. Pamekasan,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3C6C15D3-9433-4E7D-ACD2-07118169543B
69957350,KB MUTIARA ASRI,KB,SWASTA,PERUM PONDOK MUTIARA ASRI BLOK E1 no.1 R...,Pandanlandung Kec. Wagir,Kab. Malang,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A1A93CDB-1465-4FD0-B13C-071205FAF1B1
69946509,POS PAUD MAWAR NOEBAAT,KB,SWASTA,"RT. 002, RW. 001 DUSUN NOEBAAT",Nunusunu Kec. Kualin,Kab. Timor Tengah Selatan,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EE33A087-6CE6-406C-B6F7-0712F6515512
70005644,KB BUNGA MEKAR,KB,SWASTA,Jalan Gampong Lhok Gajah Kec. Kuala Bate...,Lhok Gajah Kec. Kuala Batee,Kab. Aceh Barat Daya,Aceh,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06BACF41-D498-4273-9AA7-0713886F4211
70003877,KB AT-TANWIIR,KB,SWASTA,Kp. Pasir Terong RT.003 RW.008,Maleber Kec. Karang Tengah,Kab. Cianjur,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/455F463F-BB06-43E9-9BDD-0713A96555DB
69797093,KB MIFTAHUL HUDA,KB,SWASTA,DUSUN SUMOLAWANG,SUMOLAWANG Kec. Puri,Kab. Mojokerto,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1EA3B0AA-0A99-47F0-B308-0714AB32F96D
69824996,KB LASKAR PELANGI,KB,SWASTA,DUSUN GLAGASAN,Petung Kec. Bangsalsari,Kab. Jember,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9E4E6AFA-06DC-42BD-B72D-071523BE375E
69854905,KB TADIKA PURI,KB,SWASTA,TAMAN PONDOK INDAH BLOK RX-20,WIYUNG Kec. Wiyung,Kota Surabaya,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/112943AB-1DD8-4FD8-B803-07155172EF85
69759408,KB WIDYA KUMARA DUDA,KB,SWASTA,DUSUN DUDA,Duda Kec. Selat,Kab. Karang Asem,Bali,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B1909FE7-B8E3-4A35-8478-0715A18F0F4B
69960011,KB BATU BADAUN,KB,SWASTA,Jl. H.R. Koroh Km. 08 RT.022/RW.009,Sikumana Kec. Maulafa,Kota Kupang,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/357A7DE2-E46A-4EBC-B9FB-0715D0BE84BD
69802934, KB.  SEJAHTERA,KB,SWASTA,Jalan Bhayangkara  Rt. 01,Tanjung Harapan Kec. Sebatik Timur,Kab. Nunukan,Kalimantan Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/44D4915E-1C51-42FB-B103-0717EDE0E0E9
69773173,KB KHOIRU UMMAH,KB,SWASTA,Jl. Iswahyudi Lorong Basuki,Kalidoni Kec. Kalidoni,Kota Palembang,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FB197F58-C121-404A-8EA3-071A1E0B279D
69847561,KB ANNISA`,KB,SWASTA,DESA TAMBI RT 21  Rw 07,Tambi Kec. Kejajar,Kab. Wonosobo,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E060513F-BBB3-44FE-AEF5-071A434F7FD5
69763019,KB MUTIARA HATI,KB,SWASTA,PETUMBUKAN,Sialang Kec. Bangun Purba,Kab. Deli Serdang,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5439E131-1F00-457F-A133-071AE86B9269
20576215,KB QOSHRU AL ATHFAL,KB,SWASTA,"Dsn. Beji, Desa Sawiji, Kecamatan Jogoro...",Jogoroto Kec. Jogoroto,Kab. Jombang,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F3518E94-36AE-4C7A-BBF9-071AF3D099D6
69774224,KB DEWI SARTIKA,KB,SWASTA,DSN KARANGBOYO,Karangwedoro Kec. Turi,Kab. Lamongan,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C9B64D6-600C-402B-8991-071BC0256111
69919198,KB Teratai,KB,SWASTA,Hoder,Wairbleler Kec. Waigete,Kab. Sikka,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2CE5C959-A8EF-42DC-90A4-071BF330F108
69964517,KB ISLAM TERPADU MIYARUL ULUM,KB,SWASTA,Dusun Barat,Nylabu Daya Kec. Pamekasan,Kab. Pamekasan,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C1375275-D8DF-422A-AC4A-071CBCF19A24
69782448,KB AL MUBAYYIDLIYYAH,KB,SWASTA,KP. BENTENG RT. 002/011,JAYANTI Kec. Pelabuhan Ratu,Kab. Sukabumi,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F5D6CD15-A606-4F11-8975-071D9A6FE613
69826671,KB DARUSSALAM,KB,SWASTA,JLN. LINTAS SELATAN,JAGABAYA Kec. Mekarmukti,Kab. Garut,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/85AF2491-C2E8-44B7-AAB4-071D9B21E743
69883038,KB PERMATA INDAH,KB,SWASTA,KALIAJIR,KALIAJIR Kec. Purwanegara,Kab. Banjarnegara,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/22ACAB05-A70A-4DDE-B2AF-071E440F5CC1
69874712,KB MUTIARA BIRU,KB,SWASTA,"PERUM CERME INDAH BLOK O NO. 230, 265, 2...",Betiting Kec. Cerme,Kab. Gresik,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/75C8CC6D-1E75-4036-9291-071E762CFABE
69989605,KB PELANGI SENUNUK,KB,SWASTA,Dusun Senunuk,Sebara Kec. Parindu,Kab. Sanggau,Kalimantan Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E42AEAC-238D-4ED6-B8FF-071F5BDB48E4
69839158,KB TUNAS BANGSA,KB,SWASTA,JLN PUTAT JAYA,Plumpang Kec. Plumpang,Kab. Tuban,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/81778D63-71A5-4ABD-BD2F-0720975814E3
70030717,KB ISTIQOMAH,KB,SWASTA,DESA SAKO,SAKO Kec. Pangean,Kab. Kuantan Singingi,Riau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF00946D-144A-487F-A178-0720E6D4E4D9
69914536,PAUD SAHABAT RABBANI,KB,SWASTA,Jl. Brigjend Katamso Gg. Indra No. 4,Kampung Baru Kec. Medan Maimun,Kota Medan,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/01BA41F0-0946-4A4D-A630-072404BABE1B
69945333,PAUD PNIEL TESI,KB,SWASTA,TESI,Tesi Ayofanu Kec. Kie,Kab. Timor Tengah Selatan,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20091740-5EDC-4CA9-A123-0724EFFE0EA1
69845433,KB SRIKANDI,KB,SWASTA,NGAWEN RT 01 RW 01,DS. NGAWEN Kec. Cluwak,Kab. Pati,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/53BD6DFA-3FB5-4B71-A627-0728B30DF0EB
69918475,KOBER AL-ISTIQOMAH,KB,SWASTA,Kp. Nyalindung,Buniasih Kec. Kadipaten,Kab. Tasikmalaya,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1D3B3301-0835-41FB-8B43-07295CE01CC1
69778734,KB TANJUNG ANOM,KB,SWASTA,TIPAR KIDUL RT 1 RW 6,Tipar Kidul Kec. Ajibarang,Kab. Banyumas,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4EE4E2B3-19B7-4156-8B97-0729A3B5B11D
69784008,PAUD BANI INSAN,KB,SWASTA,JLN. BUYA HAMKA,Rabakodo Kec. Woha,Kab. Bima,Nusa Tenggara Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E629D4A7-C941-4B05-89C8-0729B9A3E969
69971433,KB Tunas Kencana,KB,SWASTA,Kampung Long Suluy,Long Sului Kec. Kelay,Kab. Berau,Kalimantan Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D34EE7DA-E8E0-4A45-9EFF-072A4879A5A2
69804681,KB AISYIYAH LASEM,KB,SWASTA,SUNAN BONANG KM 01,Soditan Kec. Lasem,Kab. Rembang,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0C43439-A169-44E6-83E6-072AFF978CFA
69773726,KB TIRTA WANGI KEDUNGWANGI,KB,SWASTA,Jl. Pucang Anom No. 7 Kedungpucang,Kedungwangi Kec. Sambeng,Kab. Lamongan,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8A443392-F42B-4396-9F5D-072B68C1484E
69911270,PAUD MELATI,KB,SWASTA,Jl. Sumatera No.4 RT.02 RW.04,Jombang Kec. Ciputat,Kota Tangerang Selatan,Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0CCACFB4-4C2F-4B74-B257-072C22903B5D
