NPSN,Name,Level,Status,Location,Subdistrict,City,Province,Link
69922839,PAUD KB TUNAS BANGSA,KB,SWASTA,Jl. Raya Pekon Napal,Napal Kec. Kelumbayan,Kab. Tanggamus,Lampung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D4FB6F61-6983-4820-A3DD-E17333BD51D8
69900337,PAUD HARAPAN BUNDA,KB,SWASTA,Desa segara kembang,Segara Kembang Kec. Lengkiti,Kab. Ogan Komering Ulu,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2834AC44-3D7D-4216-9766-E173C4D16F4F
69954123,KB CAHAYA BUNDA,KB,SWASTA,Kampung Sukamulya Rt. 04 Rw. 02,Puteran Kec. Cikalongwetan,Kab. Bandung Barat,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E921FF3F-0F4D-4A36-B053-E1747469B39D
69773775,KB CATUR MAWAR ,KB,SWASTA,DUSUN PATUK,Sumberbendo Kec. Mantup,Kab. Lamongan,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6BC8FC2A-4E2A-45B4-8C83-E1756BAB8A5D
69875350,PAUD ANGGREK,KB,SWASTA,JENDRAL SUDIRMAN,MEGANG Kec. Lubuk Linggau Utara II,Kota Lubuk Linggau,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9AB3FDCC-11FA-4A3B-AFEB-E1760C6BF194
69963027,KB ROSADA,KB,SWASTA,KP. PASIRTEREP RT.02 RW.03,Cijenuk Kec. Cipongkor,Kab. Bandung Barat,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/619B88CA-1564-4382-9D9F-E1764C9BB07E
69796987,KB INSAN CITA,KB,SWASTA,JL. RA BASUNI NO.55 SOOKO,Sooko Kec. Sooko,Kab. Mojokerto,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50E8FC8E-DB6F-4939-B172-E17739101D5C
69810227,KB AL HIDAYAH,KB,SWASTA,Sumber Pinang,SANA TENGAH Kec. Pasean,Kab. Pamekasan,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E795B49-F5A6-41BB-86D7-E177AC964B9D
69785633,KB TUNAS BANGSA,KB,SWASTA,PASIRKALIKIK,TANJUNGSARI Kec. Curugkembar,Kab. Sukabumi,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/15510218-8AB2-4AC5-858F-E17805781FA6
69909180,PAUD HARAPAN MENGKUANG,KB,SWASTA,Desa Tuo Lubuk Mengkuang,Tuo Lubuk Mengkuang Kec. Limbur Lubuk Mengkuang,Kab. Bungo,Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1E51606B-1B72-4BD5-BE54-E1783504B075
69806581,KB SINAR HARAPAN,KB,SWASTA,BLOK DESA SINDANGPANO,Sindangpano Kec. Rajagaluh,Kab. Majalengka,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6D5B6353-724A-4A53-B628-E17965775FB4
70012229,KB MEKARWANGI,KB,SWASTA,Kp. Datar Kupa RT 01 RW 04,Mekarwangi Kec. Talegong,Kab. Garut,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7C0D1E42-707E-4FC1-A284-E179C16808F6
69834783,KB DAHLIA,KB,SWASTA,JAMPIROSO,KARANGTALUN Kec. Ngluwar,Kab. Magelang,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A18520C9-C90B-4EB6-B98C-E179F66B353D
69977501,KB AL-HIDAYAH AEK PAING,KB,SWASTA,Jln.Karya Bakti Aek Paing,Aek Paing Kec. Rantau Utara,Kab. Labuhan Batu,Sumatera Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ABF52B8B-A7CD-435E-A0EA-E17C0FFFF7AC
70000073,KB HARAPAN KASIH,KB,SWASTA,RT. 01 RW. 03,Mlaten Kec. Mijen,Kab. Demak,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/87ADD485-F9BF-4B7A-AAC2-E17C562A31B2
69882987,KBFOUNDATION KIDS,KB,SWASTA,JLN. SULTAN HASANUDIN PISANGAN BARU,Sarakan Kec. Sepatan,Kab. Tangerang,Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AEB488EE-837D-43CA-A885-E17CDED32936
69899099,KB BUNDA SITI HAJAR,KB,SWASTA,JL. AMPEL PRATAMA V BLOK E 2 NO. 9 PERUM...,Ampeldento Kec. Karangploso,Kab. Malang,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C63C99B0-14ED-4E73-88F9-E17E3A2CA185
69929197,KB KASIH IBU,KB,SWASTA,Dusun 1,Lebo Kec. Manganitu,Kab. Kep. Sangihe,Sulawesi Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70402AC5-C35E-45CE-AE4B-E17F2FE56997
69769855,KB MAULIDA,KB,SWASTA,DUSUN BOROK,DARMAJI Kec. Kopang,Kab. Lombok Tengah,Nusa Tenggara Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5BA20DD-344E-41F1-A206-E17F4F4EC035
