NPSN,Name,Level,Status,Location,Subdistrict,City,Province,Link
69846061,KB BINA SEJAHTERA,KB,SWASTA,JALAN PAHLAWAN,ROWOLAKU Kec. Kajen,Kab. Pekalongan,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BECF5D84-4F3D-4EBF-AC78-7E52D931857B
69987850,KB MATA HATI,KB,SWASTA,Kp. Susukan RT.003/002,Gunung Picung Kec. Pamijahan,Kab. Bogor,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E36AAE05-73C5-4EF1-900A-7E55368B8D35
69933426,KB AISYIYAH 36 CERME KIDUL,KB,SWASTA,Jl. Raya Cerme Kidul RT 003 RW 006,Cerme Kidul Kec. Cerme,Kab. Gresik,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/84C88E44-7AC7-4558-9BDD-7E56FA85A4E0
69910796,KB AL-ISHLAH,KB,SWASTA,Dusun Pedandan,Tampak Siring Kec. Batukliang,Kab. Lombok Tengah,Nusa Tenggara Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D82F296-20F9-45B1-B94F-7E5769AFF242
69924774,KB BENANG SARI,KB,SWASTA,Ds. mandala sari kec. lalan kab. muba,Mandala Sari Kec. Lalan,Kab. Musi Banyuasin,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ED1545E6-292C-4FA3-8AD8-7E57A83702E5
69827873,PAUD AZ-ZAHRA,KB,SWASTA,KAYUMANIS UMBUL,PETIR Kec. Petir,Kab. Serang,Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6F8CA6DD-337B-4446-AF26-7E57C8316758
70029688,KB WISMA CERIA,KB,SWASTA,Desa Nipa Kalemoan,Nipa Kalemoan Kec. Bualemo,Kab. Banggai,Sulawesi Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9CF613EA-BA9C-4A81-983E-7E5811D40371
70012677,KB AN-NURNISA,KB,SWASTA,Desa Tutuyan II,Tutuyan Ii Kec. Tutuyan,Kab. Bolaang Mongondow Timur,Sulawesi Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D9591D39-6E1B-4FCA-8FFB-7E58AC81A73F
69796137,KB. AL BARKAH,KB,SWASTA,Dusun Manis,Kutakembaran Kec. Garawangi,Kab. Kuningan,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/054A6CC1-8A2F-4FD1-B70E-7E59DC529DA4
69824396,KB CAHAYA INSANI,KB,SWASTA,RANGI,RABA Kec. Wawo,Kab. Bima,Nusa Tenggara Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2CBC11E-B22C-4721-B60A-7E5B29D6E2EC
